TotalReward:-1415.5982666015625, RewardMean:-35.389957427978516, ModelNumber:6
TotalReward:-1204.0, RewardMean:-30.100000381469727, ModelNumber:10
TotalReward:-1088.800048828125, RewardMean:-27.220001220703125, ModelNumber:13
TotalReward:-1010.6354370117188, RewardMean:-25.265886306762695, ModelNumber:21
TotalReward:-675.97998046875, RewardMean:-16.899499893188477, ModelNumber:25
TotalReward:-218.06480407714844, RewardMean:-5.451619625091553, ModelNumber:46
TotalReward:-101.60342407226562, RewardMean:-2.540086030960083, ModelNumber:60
TotalReward:-844.0, RewardMean:-21.100000381469727, ModelNumber:66
TotalReward:259.4112854003906, RewardMean:6.485282897949219, ModelNumber:68
TotalReward:619.0856323242188, RewardMean:15.477139472961426, ModelNumber:70
TotalReward:-623.149658203125, RewardMean:-15.578740119934082, ModelNumber:72
TotalReward:-706.2218627929688, RewardMean:-17.655548095703125, ModelNumber:75
TotalReward:-179.97076416015625, RewardMean:-4.499269962310791, ModelNumber:77
TotalReward:-347.8357238769531, RewardMean:-8.695892333984375, ModelNumber:79
TotalReward:-545.2911376953125, RewardMean:-13.632278442382812, ModelNumber:81
TotalReward:-350.0, RewardMean:-8.75, ModelNumber:83
TotalReward:-1221.3350830078125, RewardMean:-30.533374786376953, ModelNumber:85
TotalReward:-241.4705047607422, RewardMean:-6.036761283874512, ModelNumber:87
TotalReward:-366.0, RewardMean:-9.149999618530273, ModelNumber:89
TotalReward:-881.201904296875, RewardMean:-22.030048370361328, ModelNumber:91
TotalReward:-1003.4750366210938, RewardMean:-25.086875915527344, ModelNumber:93
TotalReward:-1262.091796875, RewardMean:-31.552295684814453, ModelNumber:95
TotalReward:-1294.1021728515625, RewardMean:-32.3525505065918, ModelNumber:97
TotalReward:-721.0, RewardMean:-18.024999618530273, ModelNumber:99
TotalReward:-1135.0, RewardMean:-28.375, ModelNumber:104
TotalReward:-2184.135498046875, RewardMean:-54.60338592529297, ModelNumber:108
TotalReward:-1420.424072265625, RewardMean:-35.510597229003906, ModelNumber:111
TotalReward:-1538.6187744140625, RewardMean:-38.4654655456543, ModelNumber:115
TotalReward:-899.4979248046875, RewardMean:-22.48744773864746, ModelNumber:117
TotalReward:-1695.603515625, RewardMean:-42.39008712768555, ModelNumber:119
TotalReward:-1240.9271240234375, RewardMean:-31.023178100585938, ModelNumber:121
TotalReward:-1229.463623046875, RewardMean:-30.73659324645996, ModelNumber:123
TotalReward:-147.03941345214844, RewardMean:-3.6759848594665527, ModelNumber:125
TotalReward:-1059.0, RewardMean:-26.475000381469727, ModelNumber:127
TotalReward:-735.26171875, RewardMean:-18.381542205810547, ModelNumber:129
TotalReward:-819.0070190429688, RewardMean:-20.475175857543945, ModelNumber:131
TotalReward:-1364.54833984375, RewardMean:-34.11370849609375, ModelNumber:134
TotalReward:-1095.95361328125, RewardMean:-27.39884376525879, ModelNumber:136
TotalReward:-606.4007568359375, RewardMean:-15.16002082824707, ModelNumber:137
